timestamp,open,high,low,close
2009-10-08,258.22,263.09,256.38,261.75
2009-10-09,260.57,261.79,258.37,259.16
2009-10-12,263.18,265.31,262.43,264.47
2009-10-13,266.74,266.76,261.12,263.62
2009-10-14,264.6,265.71,264.05,264.98
2009-10-15,262.36,268.04,261.79,267.46
2009-10-16,266.46,269.59,265.86,269.48
2009-10-19,270.48,274.39,270.16,273.99
2009-10-20,273.85,275.14,270.97,272.54
2009-10-21,270.3,280,270.24,278.68
2009-10-22,277.18,277.76,274.58,276.74
2009-10-23,278.7,279.64,274.85,275.5
2009-10-26,276.36,277.96,270.11,271.13
2009-10-27,271.74,272.8,269.18,270.59
2009-10-28,267.45,268.68,263.85,264.19
2009-10-29,265.11,271.23,264.22,270.39
2009-10-30,268.39,269.65,263.79,264.55
2009-11-02,266.17,267.88,264.73,267.15
2009-11-03,265.22,270.76,263.85,270.05
2009-11-04,272.16,273.28,269.57,270.61
2009-11-05,270.2,270.83,268.19,268.27
2009-11-06,267.78,268.29,263.05,263.67
2009-11-09,266.66,268.49,265.37,267.92
2009-11-10,266.62,268.16,264.22,266.17
2009-11-11,268.67,270.1,267.05,267.66
2009-11-12,265.27,265.89,263.4,263.77
2009-11-13,263.86,265.1,262.01,264.19
2009-11-16,267.73,273.56,266.99,273.03
2009-11-17,271.47,274.19,271.47,273.7
2009-11-18,276.32,276.57,272.41,273.09
2009-11-19,270.98,272.11,268.37,270.29
2009-11-20,268.4,271.13,267.8,270.67
2009-11-23,274.59,276.34,270.77,271.41
2009-11-24,271.22,271.35,267.63,268.78
2009-11-25,271.32,275.43,270.41,275.36
2009-11-27,268.36,273.19,264.7,271.51
2009-11-30,271.59,274.84,269.98,273.86
2009-12-01,275.1,277.74,274.9,276.03
2009-12-02,275.97,277.22,273.43,274.16
2009-12-03,275.4,275.78,272.57,273.12
2009-12-04,272.53,275.09,269.44,270.44
2009-12-07,269,271.85,268.3,270.36
2009-12-08,269.73,269.9,267.88,268.32
2009-12-09,269.53,270.49,263.56,264.02
2009-12-10,264.15,266.92,263.65,265.68
2009-12-11,268.3,268.46,265.35,267.16
2009-12-14,268.11,270.33,267.99,269.76
2009-12-15,269.12,271.16,268.83,270.3
2009-12-16,272.32,275,271.87,274.33
2009-12-17,272.19,272.83,269.57,271
2009-12-18,273.07,273.57,270.03,271.85
2009-12-21,273.95,274.03,270.31,270.75
